,COUNTRY,PATENT,CITING_COUNTRY,PATENT_COUNTRY_NUMBER
8152744,AR,5,NO-COUNTRY,0
8153003,AT,59,NO-COUNTRY,0
8153830,AU,61,NO-COUNTRY,0
8154861,BE,81,NO-COUNTRY,0
8155171,BG,5,NO-COUNTRY,0
8155218,BR,6,NO-COUNTRY,0
8156898,CA,577,NO-COUNTRY,0
8160321,CH,269,NO-COUNTRY,0
8161261,CL,1,NO-COUNTRY,0
8161363,CN,27,NO-COUNTRY,0
8161471,CS,1,NO-COUNTRY,0
8170174,DE,2183,NO-COUNTRY,0
8178386,DK,21,NO-COUNTRY,0
8178682,ES,17,NO-COUNTRY,0
8179196,FI,87,NO-COUNTRY,0
8182944,FR,1019,NO-COUNTRY,0
8188396,GB,700,NO-COUNTRY,0
8190634,HK,23,NO-COUNTRY,0
8191081,HU,11,NO-COUNTRY,0
8191119,ID,1,NO-COUNTRY,0
8191166,IE,29,NO-COUNTRY,0
8191665,IL,138,NO-COUNTRY,0
8192096,IN,2,NO-COUNTRY,0
8193326,IT,217,NO-COUNTRY,0
8223662,JP,12997,NO-COUNTRY,0
8255416,KR,747,NO-COUNTRY,0
8256574,KY,3,NO-COUNTRY,0
8256690,MT,1,NO-COUNTRY,0
8256723,MX,1,NO-COUNTRY,0
8256767,MY,1,NO-COUNTRY,0
8257598,NL,392,NO-COUNTRY,0
8258516,NO,22,NO-COUNTRY,0
8258673,NZ,8,NO-COUNTRY,0
8258768,PL,2,NO-COUNTRY,0
8258782,RO,1,NO-COUNTRY,0
8258967,RU,68,NO-COUNTRY,0
8259138,SA,8,NO-COUNTRY,0
8259901,SE,163,NO-COUNTRY,0
8260659,SG,45,NO-COUNTRY,0
8261375,TW,682,NO-COUNTRY,0
8263116,UA,7,NO-COUNTRY,0
8317429,US,19189,NO-COUNTRY,0
8375264,UY,2,NO-COUNTRY,0
8375316,VE,11,NO-COUNTRY,0
8375354,YU,1,NO-COUNTRY,0
8375427,ZA,25,NO-COUNTRY,0
